trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
59709,low_stock_ret_60d,train,20220615,600870.SH,UNKNOWN,20220622,False,True,True,False,1.0,20220623,-0.12121212121212144,-0.09090909090909094,0.030303030303030498
59730,low_stock_ret_60d,train,20220616,000673.SZ,UNKNOWN,20220623,False,True,True,False,2.0,20220627,-0.2500000000000001,-0.2812499999999999,-0.031249999999999778
59740,low_stock_ret_60d,train,20220617,002464.SZ,UNKNOWN,20220624,False,True,True,False,1.0,20220627,-0.17241379310344818,-0.10344827586206884,0.06896551724137934
59748,low_stock_ret_60d,train,20220617,000673.SZ,UNKNOWN,20220624,False,True,True,False,1.0,20220627,-0.18518518518518523,-0.14814814814814814,0.03703703703703709
59960,low_stock_ret_60d,train,20220704,600896.SH,UNKNOWN,20220711,False,True,True,False,1.0,20220712,0.05208333333333326,0.0625,0.01041666666666674
60047,low_stock_ret_60d,train,20220708,600622.SH,区域地产,20220715,False,True,True,False,1.0,20220718,0.003939250626890267,0.03473493316145748,0.030795682534567215
61434,low_stock_ret_60d,train,20221021,002591.SZ,环境保护,20221028,False,True,True,False,1.0,20221031,-0.05409836065573781,-0.09672131147540974,-0.042622950819671934
62939,low_stock_ret_60d,validation,20230213,600246.SH,区域地产,20230220,False,True,True,False,1.0,20230221,-0.16160220994475138,-0.21408839779005528,-0.0524861878453039
63794,low_stock_ret_60d,validation,20230414,000615.SZ,医疗保健,20230421,False,True,True,False,1.0,20230424,-0.1953405017921147,-0.2114695340501792,-0.016129032258064502
63804,low_stock_ret_60d,validation,20230417,000540.SZ,UNKNOWN,20230424,False,True,True,False,1.0,20230425,-0.20833333333333337,-0.22916666666666663,-0.02083333333333326
63822,low_stock_ret_60d,validation,20230418,605369.SH,医疗保健,20230425,False,True,True,False,1.0,20230426,-0.16586573467307408,-0.12640163098878698,0.0394641036842871
63840,low_stock_ret_60d,validation,20230419,000540.SZ,UNKNOWN,20230426,False,True,True,False,2.0,20230428,-0.23863636363636365,-0.25,-0.011363636363636354
63860,low_stock_ret_60d,validation,20230420,000540.SZ,UNKNOWN,20230427,False,True,True,False,1.0,20230428,-0.3023255813953488,-0.2325581395348837,0.06976744186046513
63921,low_stock_ret_60d,validation,20230425,000540.SZ,UNKNOWN,20230505,True,True,False,True,5.0,20230512,-0.12499999999999989,-0.33333333333333326,-0.20833333333333337
63922,low_stock_ret_60d,validation,20230425,000615.SZ,医疗保健,20230505,True,True,False,True,5.0,20230512,0.03649635036496335,-0.194647201946472,-0.23114355231143535
63932,low_stock_ret_60d,validation,20230425,300427.SZ,电气设备,20230505,True,True,True,False,1.0,20230508,-0.16036036036036028,-0.2954954954954955,-0.1351351351351352
63940,low_stock_ret_60d,validation,20230426,000615.SZ,医疗保健,20230508,False,True,False,True,5.0,20230515,-0.028776978417266008,-0.24700239808153468,-0.21822541966426867
63961,low_stock_ret_60d,validation,20230427,000615.SZ,医疗保健,20230509,False,True,False,True,5.0,20230516,-0.08983451536643039,-0.2955082742316786,-0.2056737588652482
64442,low_stock_ret_60d,validation,20230605,600242.SH,UNKNOWN,20230612,False,True,True,False,1.0,20230613,-0.17857142857142871,-0.14285714285714302,0.0357142857142857
64465,low_stock_ret_60d,validation,20230606,600781.SH,UNKNOWN,20230613,False,True,True,False,1.0,20230614,0.12676056338028174,0.05633802816901401,-0.07042253521126773
64664,low_stock_ret_60d,validation,20230620,000606.SZ,UNKNOWN,20230629,False,True,True,False,1.0,20230630,-0.11538461538461542,-0.07692307692307687,0.03846153846153855
64702,low_stock_ret_60d,validation,20230626,002417.SZ,UNKNOWN,20230703,False,True,True,False,1.0,20230704,-0.11904761904761907,-0.07142857142857129,0.04761904761904778
64822,low_stock_ret_60d,validation,20230704,002411.SZ,UNKNOWN,20230711,False,True,False,False,,,-0.2051282051282053,,
66188,low_stock_ret_60d,validation,20231016,688256.SH,半导体,20231023,False,True,True,False,1.0,20231024,-0.08101694915254243,-0.07915254237288138,0.001864406779661043
67072,low_stock_ret_60d,validation,20231215,600610.SH,化工原料,20231222,False,True,True,False,1.0,20231225,0.024358974358974272,0.038461538461538325,0.014102564102564052
67660,low_stock_ret_60d,validation,20240129,603985.SH,电气设备,20240205,False,True,True,False,1.0,20240206,-0.23244420250408293,-0.24278715296679376,-0.010342950462710832
67666,low_stock_ret_60d,validation,20240129,002308.SZ,UNKNOWN,20240205,False,True,True,False,1.0,20240206,-0.261744966442953,-0.32885906040268464,-0.06711409395973167
67668,low_stock_ret_60d,validation,20240129,600186.SH,食品,20240205,False,True,True,False,1.0,20240206,-0.17660550458715607,-0.16055045871559637,0.016055045871559703
67672,low_stock_ret_60d,validation,20240129,603595.SH,元器件,20240205,False,True,True,False,1.0,20240206,-0.2523809523809524,-0.2722943722943725,-0.019913419913420105
67673,low_stock_ret_60d,validation,20240129,603949.SH,汽车配件,20240205,False,True,True,False,1.0,20240206,-0.20612244897959175,-0.23809523809523803,-0.03197278911564627
67674,low_stock_ret_60d,validation,20240129,001270.SZ,半导体,20240205,False,True,True,False,1.0,20240206,-0.24408014571948988,-0.20178101598866627,0.042299129730823615
67677,low_stock_ret_60d,validation,20240129,603266.SH,汽车配件,20240205,False,True,True,False,1.0,20240206,-0.21140472878998606,-0.22484932777005107,-0.013444598980065003
67708,low_stock_ret_60d,validation,20240131,002308.SZ,UNKNOWN,20240207,False,True,True,False,1.0,20240208,-0.3258426966292134,-0.2921348314606741,0.0337078651685393
67881,low_stock_ret_60d,validation,20240221,603985.SH,电气设备,20240228,False,True,True,False,1.0,20240229,0.06131805157593129,0.09914040114613187,0.037822349570200586
67882,low_stock_ret_60d,validation,20240221,603363.SH,饲料,20240228,False,True,True,False,1.0,20240229,0.34603174603174613,0.3396825396825396,-0.006349206349206549
67884,low_stock_ret_60d,validation,20240221,600520.SH,半导体,20240228,False,True,True,False,1.0,20240229,0.15563298490127742,0.27119628339140545,0.11556329849012803
67886,low_stock_ret_60d,validation,20240221,603528.SH,软件服务,20240228,False,True,True,False,1.0,20240229,0.0732984293193717,0.1500872600349039,0.07678883071553222
67891,low_stock_ret_60d,validation,20240221,603186.SH,元器件,20240228,False,True,True,False,1.0,20240229,0.08069458631256388,0.17824310520939735,0.09754851889683347
67895,low_stock_ret_60d,validation,20240221,002795.SZ,机械基件,20240228,False,True,True,False,1.0,20240229,0.12440191387559807,0.1435406698564594,0.019138755980861344
68297,low_stock_ret_60d,validation,20240320,600250.SH,商贸代理,20240327,False,True,True,False,1.0,20240328,-0.014573991031390121,-0.02578475336322872,-0.011210762331838597
68500,low_stock_ret_60d,validation,20240408,603603.SH,UNKNOWN,20240415,False,True,True,False,1.0,20240416,-0.04761904761904756,-0.04761904761904756,0.0
68501,low_stock_ret_60d,validation,20240408,002089.SZ,UNKNOWN,20240415,False,True,True,False,1.0,20240416,0.045454545454545636,0.09090909090909083,0.04545454545454519
68605,low_stock_ret_60d,validation,20240415,002336.SZ,UNKNOWN,20240422,True,True,False,True,5.0,20240429,-0.06394557823129254,-0.27482993197278904,-0.2108843537414965
68700,low_stock_ret_60d,validation,20240422,300117.SZ,UNKNOWN,20240429,True,False,True,False,1.0,20240430,0.14782608695652177,0.19130434782608718,0.04347826086956541
