universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,5d,industry_amount_share,1,2027,858807,0.003380521824274408,0.004872666026426818,0.5707942772570301
screened,5d,industry_amount_share,2,2027,860411,0.003154339624817018,0.0034722558289118394,0.5481006413418845
screened,5d,industry_amount_share,3,2027,858674,0.0026728956870664534,0.0034676007087393167,0.5510606808090774
screened,5d,industry_amount_share,4,2027,860412,0.003091977521570529,0.0030555504218751396,0.5520473606314751
screened,5d,industry_amount_share,5,2027,860285,0.002617794040589008,0.0026972156999718047,0.5411938825851011
screened,5d,industry_amount_share,6,2027,861286,0.003103551952068397,0.003249315470667322,0.5451406018746917
screened,5d,industry_amount_share,7,2027,870731,0.003253758675260305,0.003044572212469571,0.5416872224963
screened,5d,industry_amount_share,8,2027,860861,0.0037926308657504175,0.003877734819156489,0.5397138628515047
screened,5d,industry_amount_share,9,2027,835603,0.004395522334024456,0.004428158461970377,0.5535273803650715
screened,5d,industry_amount_share,10,2027,873919,0.004127772246681813,0.004632698297549946,0.5446472619634929
screened,5d,industry_amount_share_roll20d,1,2018,856603,0.0032748728887215988,0.004692980519366787,0.5718533201189296
screened,5d,industry_amount_share_roll20d,2,2018,856047,0.0031654123729569555,0.003700536132541171,0.5569871159563925
screened,5d,industry_amount_share_roll20d,3,2018,856116,0.003057052519785428,0.0038215659904022054,0.5574826560951437
screened,5d,industry_amount_share_roll20d,4,2018,860864,0.0030392301911842208,0.003803502880990753,0.5535183349851338
screened,5d,industry_amount_share_roll20d,5,2018,858548,0.0030042074379246888,0.002906215334543781,0.541625371655104
screened,5d,industry_amount_share_roll20d,6,2018,856508,0.0027932764520575614,0.002740843078551099,0.5401387512388504
screened,5d,industry_amount_share_roll20d,7,2018,869880,0.003357729737308224,0.0038488946281907957,0.5480673934588701
screened,5d,industry_amount_share_roll20d,8,2018,858328,0.003659649400682319,0.003924616275554599,0.5381565906838454
screened,5d,industry_amount_share_roll20d,9,2018,827867,0.004900513916039053,0.0042818565378221,0.5485629335976214
screened,5d,industry_amount_share_roll20d,10,2018,872487,0.004323670464332706,0.00532703001346055,0.5500495540138751
screened,5d,industry_amount_share_roll60d,1,1998,850344,0.003379239784849548,0.0045040842546102385,0.5675675675675675
screened,5d,industry_amount_share_roll60d,2,1998,853119,0.003528984352758985,0.004237526041272952,0.5655655655655656
screened,5d,industry_amount_share_roll60d,3,1998,848681,0.0033859192864080672,0.0038752321018971627,0.5505505505505506
screened,5d,industry_amount_share_roll60d,4,1998,849137,0.003020754052052468,0.004208993914317333,0.556056056056056
screened,5d,industry_amount_share_roll60d,5,1998,851715,0.0031930504026519172,0.0030300789069976734,0.545045045045045
