universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status
screened,10d,stock_rel_industry_ret_5d,2017,-0.022432176799180026,-0.016614082024593045,0.09206926365330946,-3.8677377544767557,0.4035696579077838,4240.072880515617,relative_strength,diagnostic_industry_snapshot
screened,10d,industry_ret_5d,2017,-0.0027434207679245862,0.0034531985901333846,0.1331134280398366,-0.3271680040288388,0.510659395141299,4240.360932077343,industry_strength,diagnostic_industry_snapshot
screened,10d,industry_breadth_20d,2013,-0.006093858246503561,-0.0034568309184620167,0.1334753013873317,-0.7247558137370335,0.4898161947342275,4242.697466467958,industry_breadth,diagnostic_industry_snapshot
screened,10d,industry_amount_share_roll20d,2013,-0.011560830752358708,-0.0016455866482638138,0.16624507565237293,-1.1039274276252753,0.49826130153999004,4242.697466467958,industry_crowding,diagnostic_industry_snapshot
screened,10d,stock_ret_20d,2002,-0.04981956450806205,-0.041520531664665176,0.14185861672035682,-5.574994927817758,0.3691308691308691,4247.925074925075,price_momentum,usable_after_t_close
screened,10d,stock_rel_industry_ret_20d,2002,-0.045155085194168575,-0.038406866230186396,0.10340512920166255,-6.932100570410619,0.3196803196803197,4247.925074925075,relative_strength,diagnostic_industry_snapshot
screened,10d,industry_ret_20d,2002,-0.016185626742183944,-0.010988131247595151,0.13934129825244645,-1.8439533882891785,0.46553446553446554,4249.515484515485,industry_strength,diagnostic_industry_snapshot
screened,10d,industry_breadth_60d,1993,-0.017338991766325064,-0.014063519909115873,0.14034168109633297,-1.9612702301949847,0.44756648268941296,4255.750627195183,industry_breadth,diagnostic_industry_snapshot
screened,10d,industry_amount_share_roll60d,1993,-0.008785212156314377,-0.0007114862236611314,0.1664374288955286,-0.8379180116440907,0.4992473657802308,4255.750627195183,industry_crowding,diagnostic_industry_snapshot
screened,10d,stock_ret_60d,1962,-0.04969425749294563,-0.04797650144761404,0.14987949605706843,-5.2633742589158485,0.3730886850152905,4268.555555555556,price_momentum,usable_after_t_close
screened,10d,stock_rel_industry_ret_60d,1962,-0.038464399828459804,-0.03520460526092457,0.10953927008290686,-5.574287807382815,0.3659531090723751,4268.555555555556,relative_strength,diagnostic_industry_snapshot
screened,10d,industry_ret_60d,1962,-0.024383329704552287,-0.0193688667971143,0.13881424018112898,-2.788426884003914,0.43730886850152906,4274.983180428135,industry_strength,diagnostic_industry_snapshot
screened,10d,industry_crowding_score,1962,-0.024394847094901282,-0.02423296410851871,0.12319926072385809,-3.143332109559793,0.42099898063200814,4274.983180428135,industry_crowding,diagnostic_industry_snapshot
