ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
688146.SH,20251028,train,0.21594251540647136,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,124724120.0,False,False,63242188.0,False,False,1,unknown,False,False,True,False,中船特气,半导体,科创板,20230421
603730.SH,20250603,train,-0.27280465137187637,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,4698979.0,False,False,2826454.0,False,False,4,unknown,False,False,False,False,岱美股份,汽车配件,主板,20170728
603505.SH,20250714,train,-0.28077459188319165,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,15225687.0,False,False,3506635.0,False,False,3,unknown,False,False,False,False,金石资源,化工原料,主板,20170503
301127.SZ,20240704,train,-0.3100204499472067,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3035310.0,False,False,3206384.0,False,False,1,unknown,False,False,True,False,武汉天源,环境保护,创业板,20211230
300537.SZ,20241118,train,0.20415826915168434,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,16409216.0,False,False,4124513.0,False,False,3,unknown,False,False,True,False,广信材料,染料涂料,创业板,20160830
300720.SZ,20250314,train,0.2002317268511733,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6919255.0,False,False,2586678.0,False,False,1,unknown,False,False,True,False,海川智能,电器仪表,创业板,20171106
688301.SH,20240614,train,-0.3351472139475147,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,12108092.0,False,False,4056784.0,False,False,1,unknown,False,False,True,False,奕瑞科技,医疗保健,科创板,20200918
688301.SH,20250618,train,-0.2868271242139213,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6712382.0,False,False,3021763.0,False,False,1,unknown,False,False,True,False,奕瑞科技,医疗保健,科创板,20200918
300984.SZ,20250514,train,-0.2775343281287157,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,18332828.0,False,False,5279172.0,False,False,1,unknown,False,False,True,False,金沃股份,机械基件,创业板,20210618
688131.SH,20240626,train,-0.2982542533184199,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1436066.0,False,False,1060377.0,False,False,1,unknown,False,False,True,False,皓元医药,化学制药,科创板,20210608
300557.SZ,20250528,train,-0.22532873410697063,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,2796201.2,False,False,1241293.0,False,False,1,unknown,False,False,True,False,理工光科,电器仪表,创业板,20161101
688626.SH,20251231,train,0.20034765181031555,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,55142944.0,False,False,16737205.0,False,False,1,unknown,False,False,True,False,翔宇医疗,医疗保健,科创板,20210331
688408.SH,20240710,train,-0.3287722164978153,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,7419375.0,False,False,9546707.0,False,False,1,unknown,False,False,True,False,中信博,电气设备,科创板,20200828
603507.SH,20240705,train,-0.2489752753068747,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,4228444.0,False,False,3472387.0,False,False,1,unknown,False,False,False,False,振江股份,电气设备,主板,20171106
688090.SH,20240621,train,-0.3088197557568573,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3232841.0,False,False,3376421.0,False,False,1,unknown,False,False,True,False,瑞松科技,专用机械,科创板,20200217
688090.SH,20250625,train,-0.23487899883233698,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,5266680.0,False,False,2682482.0,False,False,1,unknown,False,False,True,False,瑞松科技,专用机械,科创板,20200217
301099.SZ,20240710,train,-0.2294359664659602,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,8002058.0,False,False,5863909.0,False,False,1,unknown,False,False,True,False,雅创电子,元器件,创业板,20211122
301099.SZ,20250811,train,-0.23123788035743786,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,10306934.0,False,False,9910894.0,False,False,3,unknown,False,False,True,False,雅创电子,元器件,创业板,20211122
301012.SZ,20250522,train,-0.2920470958969096,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3271902.0,False,False,3273986.0,False,False,1,unknown,False,False,True,False,扬电科技,电气设备,创业板,20210622
603037.SH,20240627,train,-0.31800365273391706,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,7987294.0,False,False,12113776.0,False,False,1,unknown,False,False,False,False,凯众股份,汽车配件,主板,20170120
603037.SH,20250620,train,-0.28615752425146523,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,10103128.0,False,False,2727671.0,False,False,1,unknown,False,False,False,False,凯众股份,汽车配件,主板,20170120
300626.SZ,20241202,train,0.20105607467553033,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,23752946.0,False,False,1908266.0,False,False,3,unknown,False,False,True,False,华瑞股份,电气设备,创业板,20170320
003010.SZ,20240612,train,-0.2930911285493417,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,2873118.5,False,False,1602924.0,False,False,1,unknown,False,False,False,False,若羽臣,互联网,主板,20200925
003010.SZ,20250606,train,-0.327902153298404,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,43865584.0,False,False,16284057.0,False,False,1,unknown,False,False,False,False,若羽臣,互联网,主板,20200925
003010.SZ,20250912,train,-0.284096956995894,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,16423105.0,False,False,11017470.0,False,False,1,unknown,False,False,False,False,若羽臣,互联网,主板,20200925
