trade_date,universe_id,v7_top10_count,retained_count,removed_count,retention_ratio,removed_codes
20260429,U3_internal_roll_top2000_60d,10,1,9,0.1,"002953.SZ,002983.SZ,300350.SZ,300402.SZ,300546.SZ,300712.SZ,301209.SZ,600984.SH,688586.SH"
20260430,U3_internal_roll_top2000_60d,10,1,9,0.1,"002374.SZ,301380.SZ,600725.SH,600981.SH,603344.SH,605167.SH,605580.SH,688039.SH,688081.SH"
20260506,U3_internal_roll_top2000_60d,10,1,9,0.1,"000955.SZ,002677.SZ,300155.SZ,300275.SZ,300659.SZ,300793.SZ,300805.SZ,301010.SZ,603536.SH"
20260507,U3_internal_roll_top2000_60d,10,1,9,0.1,"002374.SZ,002836.SZ,301082.SZ,301126.SZ,301333.SZ,600697.SH,603023.SH,603879.SH,605086.SH"
20260508,U3_internal_roll_top2000_60d,10,9,1,0.9,002723.SZ
20260511,U3_internal_roll_top2000_60d,10,6,4,0.6,"001296.SZ,301127.SZ,603969.SH,605365.SH"
20260512,U3_internal_roll_top2000_60d,10,2,8,0.2,"002105.SZ,002574.SZ,002862.SZ,002910.SZ,301001.SZ,301010.SZ,301567.SZ,600697.SH"
20260513,U3_internal_roll_top2000_60d,10,5,5,0.5,"300909.SZ,300946.SZ,603703.SH,605167.SH,688500.SH"
20260514,U3_internal_roll_top2000_60d,10,2,8,0.2,"002238.SZ,002677.SZ,002905.SZ,300523.SZ,301016.SZ,601279.SH,603879.SH,605398.SH"
20260515,U3_internal_roll_top2000_60d,10,4,6,0.4,"000565.SZ,300121.SZ,301019.SZ,301286.SZ,603863.SH,688246.SH"
20260518,U3_internal_roll_top2000_60d,10,3,7,0.3,"000803.SZ,001325.SZ,002295.SZ,301082.SZ,605118.SH,688399.SH,688607.SH"
20260519,U3_internal_roll_top2000_60d,10,7,3,0.7,"002238.SZ,603926.SH,605167.SH"
20260520,U3_internal_roll_top2000_60d,10,7,3,0.7,"300121.SZ,300177.SZ,300582.SZ"
