rule_id,split,roundtrip_cost_bps,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,validation,0,stock_concentration_regime,stock_concentration_low,241,4820,20.0,-0.20774396545123242,0.0010431058986229349,-0.006163555547968991,0.4024896265560166,0.40560165975103735,1.061049404779445,1.048526064135421,-0.909819005870557,0.0010431058986229338,0.5790057781756983,-0.1922285893773429
low_log_amount,validation,0,stock_concentration_regime,stock_concentration_normal,243,4860,20.0,27.17847774358559,0.015327126301922645,0.0002598800073133234,0.51440329218107,0.5158436213991769,3.2750114881801395,2.4674485132459396,-0.25600822607594753,0.015327126301922645,0.5509797135602565,-0.06051854931859772
low_log_amount,validation,0,trend_regime,neutral,293,5860,20.0,8.072138810049747,0.009716517676835689,-0.004341027245464452,0.4129692832764505,0.4363481228668942,1.9178958568527722,1.6744757586947734,-0.807544488649803,0.009716517676835689,0.5790057781756983,-0.1922285893773429
low_log_amount,validation,0,trend_regime,strong,94,1880,20.0,0.3343170946654148,0.004494006252225883,-0.002107286651012818,0.4574468085106383,0.4765957446808511,1.2740895903247285,1.2242830780821157,-0.5496047343663004,0.004494006252225882,0.21824924132623869,-0.17950581720511888
low_log_amount,validation,0,trend_regime,weak,97,1940,20.0,0.8442268779245563,0.007283545834157112,0.006393416614117941,0.5979381443298969,0.5201030927835052,1.6352936216796008,1.437709397732265,-0.32837265481709477,0.007283545834157109,0.17822749742909338,-0.16301524881415747
low_log_amount,validation,0,vol_regime,high_vol,56,1120,20.0,3.66977086080467,0.02884041153568681,0.02993672281977561,0.7142857142857143,0.6803571428571429,5.3520564837979325,3.664622727721326,-0.1817402630951629,0.028840411535686807,0.17822749742909338,-0.058545902077566624
low_log_amount,validation,0,vol_regime,low_vol,146,2920,20.0,3.772062819901124,0.012725774553342714,-0.004634177054158947,0.3904109589041096,0.4417808219178082,2.8684447514326994,2.36366164189393,-0.4303367827903415,0.012725774553342712,0.5509797135602565,-0.0368538331453735
low_log_amount,validation,0,vol_regime,normal_vol,282,5640,20.0,0.0018007692643873252,0.0017831705040738742,-0.004235614264047385,0.4432624113475177,0.42730496453900707,1.1145603383818237,1.087453440311543,-0.8662250605338727,0.001783170504073873,0.5790057781756983,-0.1922285893773429
low_log_amount,validation,40,extreme_selloff_flag,False,406,8120,20.0,1.7047230125994242,0.004303492814912658,-0.0067769258986332594,0.3891625615763547,0.41330049261083746,1.3065955195957566,1.241420810479192,-0.7692115376194737,0.004303492814912658,0.5750057781756983,-0.19622858937734292
low_log_amount,validation,40,extreme_selloff_flag,True,78,1560,20.0,0.1974328918577848,0.003752078590779355,-0.00403030352252666,0.358974358974359,0.4391025641025641,1.2461313151553388,1.1878520778011632,-0.3792052477609259,0.003752078590779354,0.23926355438943644,-0.16701524881415747
