model_id,baseline_id,split,signal_days,avg_overlap_count,avg_overlap_ratio_model,avg_overlap_ratio_baseline,avg_model_only_count,avg_baseline_only_count,avg_overlap_return,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only,avg_model_daily_return,avg_baseline_daily_return,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,validation,484,5.485537190082645,0.2742768595041322,0.2742768595041322,14.514462809917354,14.514462809917354,0.005320437211829042,0.006570623791671847,0.005969007549663845,0.0006016162420080023,0.006336272277748928,0.005575893933601551,0.0007603783441473748,1.1128043856675407,0.4793388429752066
ridge_conditional_industry_ablation,low_log_amount,validation,484,4.316115702479339,0.21580578512396692,0.21580578512396692,15.683884297520661,15.683884297520661,0.003924505491944762,0.006323760206038553,0.008950609539343497,-0.002626849333304944,0.006336272277748928,0.008214628539122583,-0.0018783562613736544,0.8165188421967338,0.4772727272727273
ridge_conditional_industry_ablation,low_log_total_mv,validation,484,2.274793388429752,0.1137396694214876,0.1137396694214876,17.725206611570247,17.725206611570247,0.018440492503959887,0.005751404439386334,0.02039726782821512,-0.014645863388828787,0.006336272277748928,0.02050614879321123,-0.014169876515462303,0.4803869892050926,0.4607438016528926
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,validation,484,3.2954545454545454,0.16477272727272727,0.16477272727272727,16.704545454545453,16.704545454545453,0.004278742836573558,0.006504716490843266,0.008985531848593053,-0.002480815357749787,0.006336272277748928,0.008420079732945288,-0.0020838074551963585,0.7863335931943753,0.49173553719008267
ridge_conditional_industry_ablation,low_stock_ret_60d,validation,484,0.10330578512396695,0.005165289256198347,0.005165289256198347,19.89669421487603,19.89669421487603,0.03959736008523069,0.0062052195647483216,0.004893151297553794,0.0013120682671945274,0.006336272277748928,0.005011874565637244,0.0013243977121116825,1.0922144990974774,0.5
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,validation,484,6.386363636363637,0.31931818181818183,0.31931818181818183,13.613636363636363,13.613636363636363,0.009276163206633027,0.00661097036479812,0.0035238021065892335,0.003087168258208887,0.007295493397135952,0.004732306918420068,0.0025631864787158845,1.398331654818154,0.5
ridge_primary_alpha1,combo_low_size_low_liquidity,validation,484,4.712809917355372,0.23564049586776858,0.23564049586776858,15.287190082644628,15.287190082644628,0.005590336026427281,0.007661108662069409,0.0060620020423880535,0.0015991066196813552,0.007295493397135952,0.005575893933601551,0.0017195994635343982,1.2525668696123213,0.493801652892562
ridge_primary_alpha1,low_log_amount,validation,484,3.6115702479338845,0.18057851239669423,0.18057851239669423,16.388429752066116,16.388429752066116,0.0042703313287941755,0.007343461815301331,0.00876113396218523,-0.0014176721468838992,0.007295493397135952,0.008214628539122583,-0.00091913514198663,0.9108084630921707,0.5103305785123967
ridge_primary_alpha1,low_log_total_mv,validation,484,2.196280991735537,0.10981404958677686,0.10981404958677686,17.803719008264462,17.803719008264462,0.016757949239170667,0.006826443981592428,0.02040229725181294,-0.013575853270220511,0.007295493397135952,0.02050614879321123,-0.01321065539607528,0.5098084383759938,0.4731404958677686
ridge_primary_alpha1,low_stock_amount_share_in_industry,validation,484,2.5392561983471076,0.12696280991735537,0.12696280991735537,17.460743801652892,17.460743801652892,0.006725955724953189,0.007474772692560225,0.008780848121384232,-0.001306075428824007,0.007295493397135952,0.008420079732945288,-0.0011245863358093349,0.8858211886062646,0.5
ridge_primary_alpha1,low_stock_ret_60d,validation,484,0.14049586776859505,0.0070247933884297524,0.0070247933884297524,19.859504132231404,19.859504132231404,0.022964363918094446,0.007174028759493456,0.004889711290461367,0.0022843174690320885,0.007295493397135952,0.005011874565637244,0.0022836188314987074,1.164370052322526,0.512396694214876
